ISO3,Year,any_campaign,any_nonviolent,any_violent,SupDem_trim,wdi_popurb,wdi_gdpcapcon2015,v2x_polyarchy,v2xeg_eqdr,v2cagenmob,v2cademmob,v2caautmob,v2x_civlib,v2x_execorr,e_boix_regime,e_peaveduc,log_gdpcapcon2015,auto_period_id,auto_period01,auto_period_id005,auto_period005,auto_period_id01ci,auto_period01ci,ert_aut_ep,ert_aut_ep_id,edi_autocracy,Emancipative_valuesWIK2015,Emancipative_valuesWIK2015_sd
ARM,1993,0,0,0,NA,66.606,791.6469961542855,0.606,0.933,-0.092,0.036,-1.459,0.69,0.308,1,10.518,6.674115580528933,Armenia_1,1,Armenia_1,1,Armenia_1,1,0,ARM_1994_2008,0.394,0.2898694452361344,0.03931343522922715
ARM,1994,0,0,0,NA,66.332,855.0810409481966,0.587,0.933,-0.092,0.036,-0.242,0.685,0.308,1,10.53,6.751196249179704,Armenia_1,1,Armenia_1,1,Armenia_1,1,1,ARM_1994_2008,0.41300000000000003,0.2998904259654974,0.037302898932415146
ARM,1995,0,0,0,NA,66.057,928.092496577322,0.49,0.926,0.597,1.044,1.097,0.686,0.335,1,10.542,6.8331314008550805,Armenia_1,1,Armenia_1,1,Armenia_1,1,1,ARM_1994_2008,0.51,0.31060820120668364,0.037673143923276045
ARM,1996,0,0,0,NA,65.781,989.6423432251926,0.422,0.927,2.076,2.12,1.321,0.693,0.461,1,10.554,6.897343608385597,Armenia_1,1,Armenia_1,1,Armenia_1,1,1,ARM_1994_2008,0.5780000000000001,0.28675773447620706,0.02829062837459101
ARM,2002,0,0,0,-0.657819361,64.236,1582.0576216709233,0.407,0.922,-0.337,0.184,-0.26,0.705,0.839,1,10.645,7.366481570970812,Armenia_3,1,Armenia_3,1,Armenia_3,1,1,ARM_1994_2008,0.593,0.3026612702889778,0.03536254164550955
ARM,2003,0,0,0,-0.670886681,64.137,1815.788224479994,0.352,0.922,0.486,1.082,0.566,0.705,0.839,1,10.667,7.504274935885235,Armenia_3,1,Armenia_3,1,Armenia_3,1,1,ARM_1994_2008,0.648,0.3130206205914729,0.03148448080640389
ARM,2004,0,0,0,-0.667120899,64.038,2018.460140870204,0.343,0.922,0.486,0.167,-1.198,0.679,0.839,1,10.688,7.610090193192005,Armenia_3,1,Armenia_3,1,Armenia_3,1,1,ARM_1994_2008,0.657,0.27719524782007954,0.04085402906639464
ARM,2005,0,0,0,-0.676080715,63.938,2312.982861335375,0.344,0.922,-0.256,-0.137,-1.198,0.727,0.839,1,10.71,7.746293252491655,Armenia_3,1,Armenia_3,1,Armenia_3,1,1,ARM_1994_2008,0.656,0.3110627790083819,0.039993187012211134
ARM,2006,0,0,0,-0.684933439,63.839,2636.2566481970034,0.339,0.922,-0.809,0.345,-1.198,0.725,0.839,1,10.732,7.877115253628403,Armenia_3,1,Armenia_3,1,Armenia_3,1,1,ARM_1994_2008,0.661,0.288961557002601,0.027973061699952163
ARM,2007,1,1,0,-0.687543902,63.739,3019.4655606402216,0.347,0.922,-0.299,0.345,-1.198,0.724,0.839,1,10.753,8.012835128033043,Armenia_3,1,Armenia_3,1,Armenia_3,1,1,ARM_1994_2008,0.653,0.2972020128848466,0.024374569403643957
ARM,2008,1,1,0,-0.696126898,63.64,3250.498611011453,0.316,0.909,3.361,3.454,1.796,0.642,0.839,1,10.775,8.086563682329082,Armenia_3,1,Armenia_3,1,Armenia_3,1,1,ARM_1994_2008,0.6839999999999999,0.31856962016408247,0.03950106285097256
AZE,1994,1,0,1,NA,52.515,1264.5271891937043,0.252,0.246,1.08,-0.447,0.697,0.408,0.918,1,10.582,7.142453567811403,Azerbaijan_1,1,Azerbaijan_1,1,Azerbaijan_1,1,1,AZE_1993_1996,0.748,0.2923590670998537,0.024269149038185046
AZE,1995,0,0,0,NA,52.206,1102.4978900740705,0.251,0.258,0.924,-0.447,0.35,0.408,0.918,1,10.59,7.005333693554155,Azerbaijan_1,1,Azerbaijan_1,1,Azerbaijan_1,1,1,AZE_1993_1996,0.749,0.3022358972193526,0.017400772334356183
AZE,1996,0,0,0,NA,51.896,1105.5872422942778,0.24,0.258,0.494,-0.652,-0.744,0.447,0.918,1,10.598,7.008131913777398,Azerbaijan_1,1,Azerbaijan_1,1,Azerbaijan_1,1,1,AZE_1993_1996,0.76,0.33059955193940976,0.030259770273329344
AZE,1997,0,0,0,NA,51.588,1158.481657617604,0.242,0.258,0.411,-0.652,-0.744,0.447,0.918,1,10.606,7.054865510874931,Azerbaijan_1,1,Azerbaijan_1,1,Azerbaijan_1,1,0,NA,0.758,0.3355262713562735,0
AZE,1998,0,0,0,NA,51.278,1262.2918871261254,0.245,0.258,1.03,-0.042,0.353,0.45,0.918,1,10.614,7.140684305681302,Azerbaijan_1,1,Azerbaijan_1,1,Azerbaijan_1,1,0,NA,0.755,0.3361599762836193,0.018219731534754244
AZE,1999,0,0,0,0.49530326,51.185,1343.8559386987813,0.24,0.233,0.636,-0.93,-0.697,0.448,0.918,1,10.622,7.203298326869832,Azerbaijan_1,1,Azerbaijan_1,1,Azerbaijan_1,1,0,NA,0.76,0.3245702547550301,0.015788610361871354
BDI,1987,0,0,0,NA,5.62,419.85605397239954,0.159,0.38,-1.083,-2.066,1.523,0.315,0.116,1,1.028,6.039911923895388,Burundi_3,1,Burundi_3,1,Burundi_3,1,1,BDI_1987_1988,0.841,NA,NA
BDI,1988,0,0,0,NA,5.83,431.4372981110093,0.088,0.422,-1.892,-2.066,1.523,0.316,0.151,1,1.037,6.067122188518655,Burundi_3,1,Burundi_3,1,Burundi_3,1,1,BDI_1987_1988,0.912,NA,NA
BDI,2008,1,0,1,NA,10.118,300.84134924099504,0.404,0.32,-1.216,-0.248,2.284,0.409,0.808,0,2.259,5.706583046860374,Burundi_7,1,Burundi_7,1,Burundi_7,1,0,BDI_2009_2016,0.596,NA,NA
BDI,2009,0,0,0,NA,10.376,296.84709487161666,0.394,0.32,-1.216,0.035,2.284,0.395,0.808,0,2.295,5.693217174149061,Burundi_7,1,Burundi_7,1,Burundi_7,1,1,BDI_2009_2016,0.606,NA,NA
BDI,2010,0,0,0,NA,10.642,297.79172709311035,0.321,0.32,-1.003,-0.626,2.657,0.349,0.849,0,2.331,5.696394339787172,Burundi_7,1,Burundi_7,1,Burundi_7,1,1,BDI_2009_2016,0.679,NA,NA
BDI,2011,0,0,0,NA,10.915,299.0171756651916,0.285,0.32,-1.003,-0.626,2.657,0.356,0.849,0,NA,5.700501015437154,Burundi_7,1,Burundi_7,1,Burundi_7,1,1,BDI_2009_2016,0.7150000000000001,NA,NA
BDI,2012,0,0,0,0.494751768,11.194,301.4813192948214,0.285,0.32,-1.003,-0.626,2.657,0.356,0.86,0,NA,5.708708055026532,Burundi_7,1,Burundi_7,1,Burundi_7,1,1,BDI_2009_2016,0.7150000000000001,NA,NA
BDI,2013,0,0,0,0.69422062,11.482,305.29083523866035,0.279,0.275,-1.003,-0.626,2.657,0.31,0.905,0,NA,5.72126488041918,Burundi_7,1,Burundi_7,1,Burundi_7,1,1,BDI_2009_2016,0.721,NA,NA
BDI,2014,0,0,0,0.890012509,11.776,307.7655313012547,0.271,0.275,-0.721,-0.062,2.657,0.272,0.913,0,NA,5.729338231057598,Burundi_7,1,Burundi_7,1,Burundi_7,1,1,BDI_2009_2016,0.729,NA,NA
BDI,2015,1,1,0,0.891510769,12.078,289.35962720612906,0.197,0.255,2.681,1.36,2.168,0.168,0.913,1,NA,5.6676702993036745,Burundi_7,1,Burundi_7,1,Burundi_7,1,1,BDI_2009_2016,0.8029999999999999,NA,NA
BDI,2016,0,0,0,0.895994722,12.388,282.97596658051054,0.165,0.182,0.345,0.289,1.853,0.117,0.932,1,NA,5.645361970293234,Burundi_7,1,Burundi_7,1,Burundi_7,1,1,BDI_2009_2016,0.835,NA,NA
BDI,2017,0,0,0,0.905237633,12.706,277.9598030515235,0.157,0.182,0.345,0.289,1.853,0.123,0.932,1,NA,5.6274765098961685,Burundi_7,1,Burundi_7,1,Burundi_7,1,0,NA,0.843,NA,NA
BEN,2009,0,0,0,0.454590943,42.58,970.96596890556,0.644,0.625,2.821,1.94,-1.206,0.864,0.605,0,2.834,6.878291420206046,Benin_11,1,Benin_11,0,Benin_11,0,0,NA,0.356,NA,NA
BEN,2010,0,0,0,0.55937915,43.093,962.8161094974128,0.643,0.617,2.982,2.142,-1.206,0.866,0.605,0,2.89,6.869862437693963,Benin_11,1,Benin_11,0,Benin_11,0,0,NA,0.357,NA,NA
BEN,2011,0,0,0,0.644801586,43.608,962.7445896711912,0.604,0.617,2.982,2.142,-1.206,0.865,0.605,0,NA,6.86978815301804,Benin_11,1,Benin_11,0,Benin_11,0,0,NA,0.396,NA,NA
BFA,1980,0,0,0,NA,8.805,310.47257692760195,0.319,0.593,0.285,0.775,1.281,0.505,0.395,1,0.218,5.738095578399428,Burkina Faso_3,1,Burkina Faso_3,1,Burkina Faso_3,1,1,BFA_1980_1981,0.681,NA,NA
BFA,1981,0,0,0,NA,9.428,315.01634272241967,0.16,0.593,0.159,0.683,0.757,0.446,0.395,1,0.239,5.752624519138301,Burkina Faso_3,1,Burkina Faso_3,1,Burkina Faso_3,1,1,BFA_1980_1981,0.84,NA,NA
BFA,2014,1,1,0,-0.158474549,26.934,626.6262507967887,0.575,0.268,2.863,3.187,2.385,0.816,0.421,1,NA,6.440350271666716,Burkina Faso_15,1,Burkina Faso_15,1,Burkina Faso_15,1,1,BFA_2014_2015,0.42500000000000004,NA,NA
BFA,2015,0,0,0,-0.056741769,27.53,632.12668582235,0.376,0.275,2.863,1.356,1.539,0.838,0.377,1,NA,6.449089826309543,Burkina Faso_15,1,Burkina Faso_15,1,Burkina Faso_15,1,1,BFA_2014_2015,0.624,NA,NA
BGD,1982,1,0,1,NA,16.212,441.1143265661421,0.229,0.168,-1.559,-1.339,0.686,0.524,0.777,1,2.44,6.089304085763104,Bangladesh_3,1,Bangladesh_3,1,Bangladesh_3,1,1,BGD_1982_1983,0.771,0.29152378668788737,0.06771164824722843
BGD,1983,1,0,1,NA,16.631,445.7012310065602,0.183,0.168,-0.682,-0.794,0.983,0.498,0.777,1,2.53,6.099648841910913,Bangladesh_3,1,Bangladesh_3,1,Bangladesh_3,1,1,BGD_1982_1983,0.817,0.2897142997068528,0.04761137698525587
BGD,2002,0,0,0,0.339755398,24.756,679.1042675629637,0.463,0.16,1.479,0.974,-0.63,0.619,0.781,0,4.474,6.520774676245139,Bangladesh_7,1,Bangladesh_7,1,Bangladesh_7,1,1,BGD_2002_2007,0.5369999999999999,0.3327896104494952,0
BGD,2003,0,0,0,-0.054222752,25.429,698.9757721188547,0.474,0.16,1.479,0.974,-0.63,0.623,0.781,0,4.501,6.549616080858941,Bangladesh_7,1,Bangladesh_7,1,Bangladesh_7,1,1,BGD_2002_2007,0.526,0.30920248564229647,0.051045775866694745
BGD,2004,1,1,0,-0.451430508,26.114,723.4800679990511,0.474,0.16,1.479,0.974,-0.63,0.576,0.781,0,4.528,6.584072996278158,Bangladesh_7,1,Bangladesh_7,1,Bangladesh_7,1,1,BGD_2002_2007,0.526,0.339860381129855,0.03266849367244812
BGD,2005,0,0,0,-0.849440681,26.809,759.1546401057192,0.474,0.16,2.11,1.439,-0.213,0.576,0.781,0,4.555,6.632205498547835,Bangladesh_7,1,Bangladesh_7,1,Bangladesh_7,1,1,BGD_2002_2007,0.526,0.3426677882529776,0.04124270489145687
BGD,2006,1,1,0,-0.647909145,27.517,800.0604027984778,0.424,0.159,2.507,1.943,1.261,0.571,0.781,0,4.582,6.684687228315779,Bangladesh_7,1,Bangladesh_7,1,Bangladesh_7,1,1,BGD_2002_2007,0.5760000000000001,0.3392888744852577,0.04783713192292397
BGD,2007,1,1,0,-0.455483175,28.237,847.5774423264188,0.205,0.159,-1.029,-1.051,-0.856,0.535,0.636,1,4.609,6.742382212456253,Bangladesh_7,1,Bangladesh_7,1,Bangladesh_7,1,1,BGD_2002_2007,0.795,0.33840354146265345,0.04860876722247028
BGD,2012,0,0,0,0.487438092,31.993,1070.9685396209047,0.411,0.158,0.5,0.843,-1.007,0.505,0.819,0,NA,6.976318695245904,Bangladesh_9,1,Bangladesh_9,1,Bangladesh_9,1,1,BGD_2011_2024,0.589,NA,NA
BGD,2013,0,0,0,0.679029742,32.762,1121.0761794215105,0.377,0.184,0.485,1.531,-0.564,0.472,0.834,0,NA,7.022044377428251,Bangladesh_9,1,Bangladesh_9,1,Bangladesh_9,1,1,BGD_2011_2024,0.623,NA,NA
BGD,2014,0,0,0,0.677197332,33.535,1174.302401381374,0.281,0.184,0.485,1.378,0.841,0.464,0.83,1,NA,7.06842954931604,Bangladesh_9,1,Bangladesh_9,1,Bangladesh_9,1,1,BGD_2011_2024,0.719,NA,NA
